timestamp,value
403,-1.7125
404,-1.725
405,-1.7375
406,-1.75
407,-1.7625
408,-1.775
409,-1.7875
410,-1.7875
411,-1.8
412,-1.8125
413,-1.8125
414,-1.8
415,-1.8125
416,-1.825
417,-1.8125
418,-1.825
419,-1.8125
420,-1.8125
421,-1.825
422,-1.8125
423,-1.8125
424,-1.8125
425,-1.8
426,-1.7875
427,-1.7625
428,-1.775
429,-1.7625
430,-1.75
431,-1.7375
432,-1.725
433,-1.7125
434,-1.7
435,-1.675
436,-1.65
437,-1.6375
438,-1.625
439,-1.5875
440,-1.5625
441,-1.5375
442,-1.5125
443,-1.4875
444,-1.45
445,-1.4125
446,-1.375
447,-1.3375
448,-1.3125
449,-1.2625
450,-1.2125
451,-1.1625
452,-1.125
453,-1.0625
454,-1.025
455,-0.95
456,-0.9125
457,-0.85
458,-0.8
459,-0.7375
460,-0.675
461,-0.6125
462,-0.55
463,-0.475
464,-0.4125
465,-0.3625
466,-0.2875
467,-0.225
468,-0.15
469,-0.0875
470,-0.0625
471,0.1
472,0.1375
473,0.225
474,0.2875
475,0.3375
476,0.4
477,0.475
478,0.55
479,0.6
480,0.6625
481,0.725
482,0.775
483,0.8375
484,0.9
485,0.95
486,1
487,1.05
488,1.1125
489,1.15
490,1.2
491,1.25
492,1.275
493,1.3125
494,1.375
495,1.4
496,1.4375
497,1.475
498,1.4875
499,1.525
500,1.5375
501,1.5625
502,1.5875
503,1.6125
504,1.6375
505,1.675
506,1.675
507,1.6875
508,1.7
509,1.7375
510,1.725
511,1.75
512,1.7625
513,1.775
514,1.7875
515,1.7875
516,1.775
517,1.8
518,1.775
519,1.7875
520,1.8
521,1.8
522,1.8
523,1.7875
524,1.8
525,1.7875
526,1.7875
527,1.7625
528,1.7625
529,1.75
530,1.7625
531,1.75
532,1.725
533,1.725
534,1.7
535,1.7
536,1.6625
537,1.6375
538,1.625
539,1.6125
540,1.5875
541,1.55
542,1.5375
543,1.5
544,1.5
545,1.45
546,1.425
547,1.3875
548,1.3375
549,1.3125
550,1.275
551,1.225
552,1.2
553,1.1375
554,1.1125
555,1.0625
556,1.0125
557,0.95
558,0.9
559,0.8375
560,0.7875
561,0.7375
562,0.675
563,0.6125
564,0.5625
565,0.5
566,0.425
567,0.3625
568,0.3125
569,0.25
570,0.1375
571,0.1125
572,0.075
573,-0.075
574,-0.1125
575,-0.1875
576,-0.25
577,-0.3125
578,-0.375
579,-0.425
580,-0.4875
581,-0.5625
582,-0.625
583,-0.675
584,-0.7375
585,-0.7875
586,-0.8375
587,-0.8875
588,-0.9375
589,-0.9625
590,-1.025
591,-1.075
592,-1.1375
593,-1.175
594,-1.2125
595,-1.2375
596,-1.2875
597,-1.325
598,-1.3625
599,-1.4
600,-1.425
601,-1.4375
602,-1.45
603,-1.4875
604,-1.525
605,-1.55
606,-1.55
607,-1.575
608,-1.6125
609,-1.6
610,-1.6375
611,-1.6375
612,-1.6625
613,-1.675
614,-1.6875
615,-1.6875
616,-1.7
617,-1.7125
618,-1.7
619,-1.725
620,-1.725
621,-1.7
622,-1.7
623,-1.7
624,-1.7
625,-1.725
626,-1.725
627,-1.7
628,-1.7125
629,-1.7
630,-1.7
631,-1.6875
632,-1.675
633,-1.6625
634,-1.6375
635,-1.6375
636,-1.625
637,-1.6125
638,-1.5875
639,-1.575
640,-1.55
641,-1.525
642,-1.5125
643,-1.4875
644,-1.4625
645,-1.4125
646,-1.4
647,-1.375
648,-1.3375
649,-1.3
650,-1.25
651,-1.225
652,-1.1875
653,-1.125
654,-1.0875
655,-1.05
656,-1.0125
657,-0.95
658,-0.9125
659,-0.8625
660,-0.8125
661,-0.75
662,-0.7
663,-0.65
664,-0.5875
665,-0.5375
666,-0.475
667,-0.425
668,-0.35
669,-0.3
670,-0.2375
671,-0.175
672,-0.1
673,-0.075
674,0.075
675,0.1125
676,0.1375
677,0.2375
678,0.3
679,0.3375
680,0.4
681,0.45
682,0.5375
683,0.5875
684,0.65
685,0.7
686,0.7625
687,0.7875
688,0.8375
689,0.8875
690,0.925
691,0.975
692,1.0375
693,1.0875
694,1.125
695,1.15
696,1.1875
697,1.2375
698,1.2625
699,1.3
700,1.325
701,1.35
702,1.3875
703,1.425
704,1.45
705,1.4625
706,1.475
707,1.4875
708,1.525
709,1.525
710,1.5625
711,1.5625
712,1.575
713,1.6125
714,1.625
715,1.6375
716,1.6375
717,1.65
718,1.6375
719,1.6625
720,1.6375
721,1.65
722,1.675
723,1.6625
724,1.65
725,1.675
726,1.65
727,1.6375
728,1.6625
729,1.6375
730,1.625
731,1.65
732,1.6125
733,1.6
734,1.625
735,1.575
736,1.5625
737,1.55
738,1.55
739,1.5375
740,1.5
741,1.5
742,1.475
743,1.425
744,1.4
745,1.3875
746,1.35
747,1.325
748,1.3
749,1.275
750,1.2625
751,1.2125
752,1.175
753,1.15
754,1.1
755,1.0625
756,1.025
757,0.975
758,0.9125
759,0.8625
760,0.8125
761,0.7875
762,0.7125
763,0.65
764,0.6125
765,0.55
766,0.525
767,0.4625
768,0.4
769,0.325
770,0.2875
771,0.2375
772,0.125
773,0.1125
774,0.075
775,-0.075
776,-0.1
777,-0.1625
778,-0.225
779,-0.275
780,-0.3375
781,-0.3875
782,-0.45
783,-0.5
784,-0.5625
785,-0.6125
786,-0.6625
787,-0.7125
788,-0.775
789,-0.8125
790,-0.8625
791,-0.9
792,-0.9375
793,-1
794,-1.0375
795,-1.075
796,-1.1125
797,-1.15
798,-1.1875
799,-1.2
800,-1.2375
801,-1.275
802,-1.3125
803,-1.3375
804,-1.375
805,-1.3875
806,-1.4125
807,-1.4375
808,-1.4375
809,-1.475
810,-1.4875
811,-1.5125
812,-1.525
813,-1.5375
814,-1.55
815,-1.5625
816,-1.575
817,-1.575
818,-1.5625
819,-1.5875
820,-1.6
821,-1.6
822,-1.6
823,-1.5875
824,-1.5875
825,-1.5875
826,-1.6
827,-1.6
828,-1.6
829,-1.5875
830,-1.575
831,-1.575
832,-1.575
833,-1.5625
834,-1.55
835,-1.5375
836,-1.525
837,-1.5125
838,-1.475
839,-1.475
840,-1.4375
841,-1.4375
842,-1.4125
843,-1.4
844,-1.375
845,-1.35
846,-1.3125
847,-1.2875
848,-1.25
849,-1.225
850,-1.2
851,-1.1625
852,-1.125
853,-1.075
854,-1.025
855,-1
856,-0.9625
857,-0.925
858,-0.8625
859,-0.8375
860,-0.7875
861,-0.7375
862,-0.6875
863,-0.6375
864,-0.5875
865,-0.5375
866,-0.475
867,-0.425
868,-0.375
869,-0.3125
870,-0.2625
871,-0.2125
872,-0.1125
873,-0.1
874,-0.075
875,0.075
876,0.1125
877,0.125
878,0.225
879,0.2625
880,0.3375
881,0.3875
882,0.4375
883,0.5
884,0.55
885,0.6
886,0.625
887,0.675
888,0.7375
889,0.7625
890,0.825
891,0.8625
892,0.925
893,0.9375
894,0.975
895,1.05
896,1.05
897,1.0875
898,1.15
899,1.1875
900,1.2
901,1.225
902,1.275
903,1.2875
904,1.3
905,1.325
906,1.3375
907,1.3625
908,1.4
909,1.425
910,1.4125
911,1.4375
912,1.45
913,1.4625
914,1.475
915,1.5
916,1.4875
917,1.5375
918,1.5125
919,1.5125
920,1.525
921,1.5375
922,1.525
923,1.55
924,1.525
925,1.525
926,1.525
927,1.525
928,1.5125
929,1.5375
930,1.5
931,1.525
932,1.525
933,1.475
934,1.4625
935,1.45
936,1.4375
937,1.425
938,1.4375
939,1.4
940,1.375
941,1.375
942,1.3375
943,1.325
944,1.2875
945,1.275
946,1.2625
947,1.2375
948,1.1875
949,1.175
950,1.15
951,1.0875
952,1.05
953,1.0375
954,0.9875
955,0.9375
956,0.925
957,0.8625
958,0.85
959,0.775
960,0.7625
961,0.7
962,0.6375
963,0.5875
964,0.5625
965,0.5125
966,0.4625
967,0.3875
968,0.3375
969,0.3125
970,0.25
971,0.175
972,0.125
973,0.1
974,0.075
975,-0.075
976,-0.1125
977,-0.1125
978,-0.2125
979,-0.2625
980,-0.3125
981,-0.3625
982,-0.4125
983,-0.4625
984,-0.5125
985,-0.5625
986,-0.6125
987,-0.65
988,-0.6875
989,-0.75
990,-0.7875
991,-0.8125
992,-0.8625
993,-0.9
994,-0.925
995,-0.95
996,-1
997,-1.025
998,-1.0625
999,-1.1
1000,-1.15
1001,-1.1625
1002,-1.1875
1003,-1.225
1004,-1.2375
1005,-1.275
1006,-1.3
1007,-1.3125
1008,-1.325
1009,-1.3375
1010,-1.3625
1011,-1.3875
1012,-1.4
1013,-1.4125
1014,-1.3875
1015,-1.4
1016,-1.4375
1017,-1.4125
1018,-1.4375
1019,-1.4625
1020,-1.4375
1021,-1.4625
1022,-1.4625
1023,-1.4375
1024,-1.4625
1025,-1.45
1026,-1.45
1027,-1.425
1028,-1.425
1029,-1.425
1030,-1.4125
1031,-1.4
1032,-1.4
1033,-1.4
1034,-1.4
1035,-1.3625
1036,-1.3625
1037,-1.35
1038,-1.3375
1039,-1.325
1040,-1.2875
1041,-1.275
1042,-1.25
1043,-1.225
1044,-1.2
1045,-1.175
1046,-1.1375
1047,-1.125
1048,-1.075
1049,-1.0625
1050,-1.0125
1051,-0.9875
1052,-0.9625
1053,-0.9125
1054,-0.8875
1055,-0.8375
1056,-0.8125
1057,-0.775
1058,-0.7125
1059,-0.6875
1060,-0.65
1061,-0.6
1062,-0.5625
1063,-0.5125
1064,-0.4625
1065,-0.4125
1066,-0.375
1067,-0.325
1068,-0.275
1069,-0.225
1070,-0.175
1071,-0.1
1072,-0.0875
1073,-0.0625
1074,0.0875
1075,0.125
1076,0.15
1077,0.2125
1078,0.275
1079,0.325
1080,0.375
1081,0.425
1082,0.4625
1083,0.5125
1084,0.5625
1085,0.6125
1086,0.65
1087,0.6875
1088,0.7375
1089,0.7875
1090,0.825
1091,0.85
1092,0.8875
1093,0.9375
1094,0.975
1095,1
1096,1.05
1097,1.0625
1098,1.1
1099,1.125
1100,1.1625
1101,1.1875
1102,1.2
1103,1.2375
1104,1.25
1105,1.275
1106,1.2875
1107,1.3125
1108,1.3375
1109,1.35
1110,1.35
1111,1.3625
1112,1.3875
1113,1.4125
1114,1.4
1115,1.425
1116,1.4125
1117,1.4375
1118,1.4375
1119,1.4375
1120,1.45
1121,1.45
1122,1.455
1123,1.45
1124,1.45
1125,1.45
1126,1.4375
1127,1.4375
1128,1.4375
1129,1.425
1130,1.425
1131,1.4125
1132,1.3875
1133,1.375
1134,1.375
1135,1.35
1136,1.3375
1137,1.325
1138,1.3
1139,1.2875
1140,1.2625
1141,1.25
1142,1.225
1143,1.2125
1144,1.175
1145,1.15
1146,1.125
1147,1.0875
1148,1.0625
1149,1.0375
1150,1
1151,0.9625
1152,0.9375
1153,0.9
1154,0.8625
1155,0.825
1156,0.775
1157,0.7375
1158,0.6875
1159,0.65
1160,0.6125
1161,0.5625
1162,0.5125
